aid,view,danmaku,favorite,coin,share
38572873,13299,74,286,68,210
38574478,83,0,9,5,1
38574849,405,0,45,3,0
38575548,22,0,2,2,0
38574896,25,0,0,1,0
38573765,12,0,1,2,1
38572664,296,0,15,10,0
38573533,3209,9,18,7,2
38573047,1673,0,15,3,4
38573182,224,2,1,2,0
38571310,688,0,11,2,4
38572491,1606,4,10,3,1
38570081,146,0,3,2,0
38571001,9252,11,337,24,13
37591091,5431,4,129,10,2
38534066,360,2,1,11,0
37932128,3392,0,53,5,0
38571735,23,0,1,2,0
38572622,61,0,0,2,0
38572083,1463,0,64,2,0
38570061,5584,80,54,116,0
38569993,233,0,8,1,0
38551263,106,0,2,6,2
38518792,2481,13,28,12,3
38474307,343,0,1,4,0
38570333,293,1,8,2,0
38569448,9896,113,305,149,76
38568575,38,4,0,2,1
38567505,4433,30,34,50,6
38557476,3915,38,55,59,4
38537611,2403,0,1,8,2
37853680,51,0,1,2,0
38567556,101,0,0,1,2
38567086,831,0,7,5,0
38567797,4,0,1,2,0
38565830,178,0,4,1,0
38565496,110,0,2,1,0
38565279,1650,2,9,2,1
38523523,1166,1,15,8,2
37931917,3972,1,100,11,1
38563667,86,0,4,1,0
38564647,4977,8,18,20,3
38557167,844,1,39,13,1
38563592,64,0,2,1,0
38563384,51975,353,667,602,151
38545884,164,0,2,1,0
38563847,1004,5,8,15,2
38563125,2570,24,19,26,13
38547137,81,0,4,7,0
38562020,317,1,4,3,0
37561748,6329,0,22,1,1
38561906,45,0,2,1,0
38546497,96,1,2,4,1
38561573,179,0,2,2,0
38562131,15,0,1,1,0
38560367,572,1,3,10,1
38555423,50,1,2,8,1
38559609,1339,1,125,3,7
38557278,127,0,7,8,1
38515870,269,0,4,4,1
38558751,2246,48,11,29,1
38557559,577,2,9,1,0
38558573,1097,4,4,1,7
38555489,95,0,3,10,0
38554304,43,0,0,2,0
38546350,119,0,0,2,0
38555662,105,0,2,4,0
38553486,4292,4,125,129,14
38553158,243,0,27,18,2
38555972,59,0,2,2,1
38554090,1713,13,11,10,1
38552349,80,0,1,2,1
38552224,263,0,2,1,0
38551922,394,0,13,1,0
38550786,78,0,0,2,0
38550329,785,4,73,34,3
38553336,5900,25,14,18,4
38549893,13,1,1,2,0
38553040,11332,46,41,75,2
38552942,2844,72,19,43,4
38549545,666,5,45,15,3
38548150,116,0,1,2,0
38552487,10291,61,33,49,10
38548152,178,0,3,1,0
38545908,1209,0,5,5,0
38547325,121,0,2,1,0
38546456,25,0,1,2,1
38545800,46,1,0,4,1
38549805,1228,9,10,8,0
38545631,256,1,7,4,0
38545510,982,4,31,26,1
38545418,53,0,1,4,0
38545699,1736,1,21,4,0
38545431,98,0,1,2,2
38544452,848,2,10,3,8
38546755,49272,341,189,560,41
38546591,50345,159,1390,2206,62
38543348,2811,1,48,8,2
38545576,426,0,25,2,0
38543891,8100,18,213,35,6
38543147,8,0,0,2,0
38538894,75200,281,62,231,13
38544418,21,1,0,2,0
38542929,536,2,3,11,2
38542828,1618,0,8,4,0
38524225,4396,3,19,13,3
38540200,478,0,12,3,0
38540391,272,2,27,14,2
38540061,1859,3,142,21,4
38538120,609,2,2,8,0
38539019,17,0,1,2,0
38537188,12810,65,85,144,25
38538391,167,0,6,2,1
38536198,2969,14,11,23,3
38536613,528,0,34,13,0
38537882,151,0,1,2,0
38536090,33,0,2,4,0
38535853,4059,51,12,39,8
38536286,1259,0,26,6,7
38536487,8275,1,214,36,14
38534573,231,1,4,10,1
38534751,198,5,30,24,2
38534425,22,0,1,2,0
38533158,2790,0,72,1,3
38533643,323,0,16,2,0
38532874,296,0,1,2,0
38532706,813,0,13,20,2
38533516,3287,15,157,61,6
38532286,30,1,0,2,0
38469765,104,0,2,2,1
38533074,989,1,12,2,1
38531920,31,0,1,2,0
38532029,42,0,5,4,1
38532561,326,2,19,14,1
38532230,98,0,4,2,0
38497038,376,0,9,2,1
38531272,1293,1,10,4,0
38531891,64,0,1,3,0
38531456,73,0,8,4,0
38531170,724,5,6,16,1
38531412,447,1,3,8,1
38529374,28,0,1,2,0
38529549,113,0,4,6,1
38529956,5214,0,17,12,0
38529457,73,0,2,2,1
38528928,46,0,0,2,1
38506532,8,0,0,2,0
37931824,4800,0,32,7,3
38641310,284,1,3,10,1
38618263,4445,12,3,6,2
38587200,1937,2,60,3,3
38638474,44,0,1,1,1
38595783,306,4,1,2,0
38637459,13,0,2,2,1
38598441,7,0,0,2,0
38615051,78,0,1,6,0
38612187,1820,3,4,7,1
38564764,237,15,2,9,0
38633981,70,3,6,11,1
38528926,107,0,1,1,1
38527907,45,1,0,2,1
38526419,109,3,12,9,0
38526574,79,0,1,2,0
38510983,2252,47,40,165,13
38527679,22,0,1,1,0
38527378,90,0,2,6,4
38526892,19,0,3,2,1
38526219,130,0,1,2,0
37848301,53,0,0,1,0
38526894,6225,5,19,16,0
38526645,897,0,28,2,1
38526470,489,1,13,14,0
38525454,168,26,0,4,0
38525550,33,0,1,2,0
38525943,30,0,0,2,1
38525697,2041,9,44,93,5
38502294,23035,43,34,110,8
38524948,6206,26,589,201,19
38524787,27,0,4,2,0
38523342,35,0,3,2,1
38476149,226,0,6,14,1
38470079,383,22,7,15,1
38223555,4322,98,22,47,4
38162943,1359,1,5,11,0
38524381,851,1,46,69,1
38523542,172,0,1,2,0
38635918,2032,2,4,9,1
38635810,125,0,1,2,0
38635763,1029,3,9,5,0
38635772,32,0,0,4,0
38635640,176,4,13,4,0
38634331,41,0,2,4,1
38633249,156,1,4,2,0
38629119,69,0,3,2,0
38625930,10,0,1,2,0
38545347,2142,2,3,10,1
38627060,1637,2,27,30,1
38630930,140,0,12,3,0
38314459,1456,2,23,2,0
38628839,12,2,1,2,0
38627460,1062,10,20,13,5
38616020,29,0,2,2,0
38624273,5,0,1,1,0
38622654,683,1,54,4,0
38619162,211,0,3,2,1
38621089,181,0,3,4,0
38605741,20,1,1,2,0
38620652,198,0,6,10,1
38625119,703,0,8,4,0
38622574,6964,51,36,29,4
38617667,1015,0,15,3,2
38622152,4191,34,18,39,13
38602968,732,1,7,7,0
38616529,27,0,1,1,0
38616557,27,0,1,4,1
38614828,87,0,1,2,0
38618363,69,1,3,3,1
38615011,144,0,2,1,0
38616944,27928,98,110,192,37
38615987,15468,100,62,166,10
38616381,3783,11,7,26,3
38614552,62,0,3,4,1
38612979,741,6,12,10,1
38611128,1227,10,20,29,2
38613136,80832,379,156,434,28
38613763,2487,2,33,33,1
38613300,124,0,4,5,1
38613002,12,0,1,2,1
38611716,3407,115,220,411,79
38608298,1237,1,2,4,0
38611289,12457,14,11,42,0
38611038,123,2,0,2,0
38612060,52,0,2,1,0
38130162,64,2,2,8,0
38612368,389,0,7,2,0
38610673,19052,16,12,33,2
38605114,64,0,0,2,0
38590180,6219,17,50,46,4
38609135,502,2,13,29,5
38609321,60,2,2,8,0
38609089,7416,5,124,55,11
38610404,55,0,8,1,0
38609088,33,0,1,1,0
38610221,148,0,0,1,0
38608738,563,4,19,45,1
38607214,7255,30,12,4,9
38607895,1125,0,20,4,0
38605997,194,0,14,2,1
38607003,431,7,3,6,1
38606246,3185,35,360,469,13
38607930,5075,2,112,50,1
38606541,49,0,5,1,0
38607808,5249,230,666,807,80
38604674,16,2,1,2,0
38605122,39,0,3,2,0
38603774,3811,31,59,10,18
38604473,43,5,1,3,0
38602866,207,0,7,1,2
38604310,3295,17,88,26,50
38561535,6399,15,85,97,2
38604085,219,0,1,1,1
38604839,382,0,6,10,0
38602949,686,3,28,28,4
38605055,7,0,1,2,1
38603102,27,1,1,2,0
38599954,60230,341,175,557,6
38603417,124,2,1,4,1
38603704,170,1,1,10,1
38601906,1227,34,9,19,3
38603623,2316,8,28,38,2
38586674,919,3,37,11,0
38569525,169,0,2,2,0
38580272,9,0,2,1,0
38601770,1085,1,90,14,2
38603176,20,0,3,4,0
38600607,18,0,0,2,0
38600538,2849,31,41,45,3
38587110,57,0,1,1,0
38593362,671,6,5,16,2
38601816,77,0,0,2,0
38599359,109,1,5,9,0
38597906,224,0,2,2,0
38580379,65,2,0,2,0
38600297,942,0,21,2,2
38593928,1138,7,9,25,0
38600001,35,0,0,2,0
38596505,508,0,22,6,1
38577998,6,0,0,2,0
38596452,3741,61,103,198,5
38593452,1167,1,73,7,2
38594845,756,0,4,2,0
38595734,18,0,0,1,0
38592625,28,0,0,2,0
38592905,5188,47,53,160,6
38594883,2734,0,14,4,0
