id,name,rank,fans,articles
608,晚香玉,0.001515359749922911,14414,53
446483,头顶小胖次,0.000906277709986044,1688,9
686500,好大一张大饼,0.0006171326032106491,3648,358
735979,D台长地毯菌,0.0002784010438138258,1123,65
130209,奶茶姬,0.0005861138635010155,1787,72
911668,奥田紅茶子,0.0005933906141950133,1428,13
116494,萌え娘,0.00042476155865942293,1121,265
236260,纸杯君,0.0027652762622805203,21006,78
3065998,Alive绅士同盟,0.0004967111760378563,1485,11
121571,magic0813,0.00033902328826311155,7818,60
3262462,吉阿婆,0.0004686337593126804,3207,12
18670,冰封的羲和,0.001121888134714048,1613,617
190832,KwaiMay,0.0014885040053546914,5123,14
45750,可子壳子,0.002310083846345093,1849,36
21238,洛拉斯之刺,0.00035142328072915256,1511,147
72826,万年置き傘,0.0019654051286264835,4852,338
2874364,风流先森,0.0002893575182270975,1110,41
884766,komaeda°,0.00029527455116989916,1239,191
1732133,一条肉链,0.00027250463063003335,1228,4
256157,小帅喵,0.0012349192128555074,33600,118
744755,晒骆驼,0.0002562299709072663,1037,4
884798,蓝天上的流云,0.0004077800998229564,2540,307
123484,guanyuhan426,0.00027243599515809353,1640,2
339899,Soulatomy,0.0004127321571774236,1031,6
403163,胖是天生的,0.0002621163373930281,1903,16
26587,温心魔女博丽幽梦,0.00035915353877034916,1997,253
3167303,维以不永伤的六义居,0.0002885718541525742,1667,2
101758,身材娇小爆乳娘,0.00031689939797327813,3678,70
256763,穿胖次的狐狸,0.001183490544015928,25239,401
234782,祈Inory,0.0034068541593238345,46216,50
829424,仲仲菌,0.0005216697799735856,7004,213
56510,风のららら,0.0010670935929185743,1602,14
175631,川岛薄荷,0.00033742798503649997,4815,426
278531,最後通行,0.00038953903341025855,1342,46
59982,阿斗不在,0.0002682654884752247,1932,344
646415,小伍来读心咯,0.00042041443575283576,2418,16
423895,怕上火暴王老菊,0.0015613563955440184,44458,45
34731,★开心熊猫★,0.0008792819867773977,1942,49
137952,依然小智,0.0014689761094887504,49519,19
119978,SY君,0.00030165196533070974,1624,199
433351,EdmundDZhang,0.0034812040670038537,55571,26
270836,高能君,0.0002859232480202458,1884,16
180921,韦布丁,0.00036658154348065197,1725,18
194942,玄墨,0.0006671370101332472,5992,270
697828,煊煊,0.00032722286075275933,1684,353
60058,lzghome,0.0005367461565701304,5756,511
686127,籽岷,0.0004583459544587119,14351,522
359136,沙加Sama,0.0004458945488742171,1619,40
2113809,猫耳萌男,0.00032538104555617496,1414,73
829501,艾露莎舒卡勒托,0.0002562299416297897,2121,24
877013,唯笑控,0.0002562299416297897,1005,12
66508,Kriefare,0.0002698972480560234,1636,85
2824322,杯具的画师,0.00030542071901791984,1768,2
606229,阿卡狸Ahkari,0.0020692736193941882,5852,14
345522,缄默的情人,0.00027560094037161524,1589,12
2473985,LVM,0.0002562299401099796,3009,264
1776602,舛舛,0.00029310475649251455,3887,19
405170,☆来来子,0.0006778850995512048,6301,10
43536,黑桐谷歌,0.008480114881410396,105868,530
927137,悠々閑々,0.0014437710835321163,1273,68
486931,古川竹,0.00040995256966556753,1219,11
1531935,MAD⑨课,0.000382384398089503,3153,13
381738,M.Scarlet,0.001991433865765208,29452,12263
814234,『鎖·国』DAYS,0.0008140785622645176,2075,6
1577804,某幻君,0.0005635792042482359,2038,41
293995,愛メ錯ヅ℡,0.00029165711790377297,1657,225
436910,harefay,0.002205058637453076,2904,23
739077,珠峰喵,0.0011603112355789216,6209,83
748927,小丑的跳梁小丑,0.00027291064721495753,3093,15
614801,神游八方,0.00025622993887049916,2247,31
324771,我是笨蛋么,0.0002668912506587542,1114,56
274541,杨小波,0.0005794067380617196,2103,62
58480,ThEmbrace,0.0002945927791562321,2135,15
337219,锁链呀,0.0022788917639559544,12671,22
271126,cikurin,0.001807261768144801,2569,32
1555738,南舜君,0.000306382640061023,2064,14
419139,七灵石,0.00032091574738359914,1043,4
7105,林汤圆,0.002255883956418906,5535,76
72603,昵称越起越糟糕,0.0003160774586305097,1538,411
269470,鳳凰院凶魔,0.0006576922158622228,1094,135
2634,飞剑,0.00401273181786198,3138,121
843775,塔矢蘭_RAN,0.00047538358647490533,1540,13
460693,夏目银,0.0003958791834126577,1040,239
64845,G♂N,0.0003122683341539382,1426,195
35174,bear2,0.00025622993174915197,1539,9
449783,BI柚子柚子,0.0002562299310988332,1441,17
545629,无名社,0.0002562299310988332,1014,33
334793,茕茕(up主≠作者),0.0005688383119555039,2348,143
